id,tempo,estado,dist_jogador
10,7.645,PATRULHA,730.51
10,7.662,PATRULHA,731.31
10,7.678,PATRULHA,732.10
10,7.695,PATRULHA,732.89
10,7.712,PATRULHA,733.68
10,7.728,PATRULHA,734.50
10,7.745,PATRULHA,735.24
10,7.761,PATRULHA,736.08
10,7.778,PATRULHA,736.90
10,7.795,PATRULHA,737.74
10,7.811,PATRULHA,738.59
10,7.828,PATRULHA,739.40
10,7.846,PATRULHA,740.24
10,7.861,PATRULHA,741.12
10,7.878,PATRULHA,741.90
10,7.895,PATRULHA,744.37
10,7.911,PATRULHA,745.57
10,7.928,PATRULHA,746.75
10,7.945,PATRULHA,747.93
10,7.961,PATRULHA,749.13
10,7.979,PATRULHA,750.34
10,7.995,PATRULHA,751.61
10,8.012,PATRULHA,752.77
10,8.028,PATRULHA,754.00
10,8.045,PATRULHA,755.22
10,8.062,PATRULHA,756.16
10,8.078,PATRULHA,757.12
10,8.095,PATRULHA,758.08
10,8.113,PATRULHA,759.04
10,8.128,PATRULHA,760.07
10,8.145,PATRULHA,760.99
10,8.161,PATRULHA,761.99
10,8.178,PATRULHA,762.93
10,8.195,PATRULHA,763.90
10,8.211,PATRULHA,764.88
10,8.228,PATRULHA,765.86
10,8.245,PATRULHA,766.83
10,8.261,PATRULHA,767.89
10,8.278,PATRULHA,768.84
10,8.295,PATRULHA,769.86
10,8.312,PATRULHA,770.88
10,8.328,PATRULHA,771.91
10,8.345,PATRULHA,772.93
10,8.361,PATRULHA,773.97
10,8.379,PATRULHA,774.93
10,8.395,PATRULHA,775.96
10,8.412,PATRULHA,776.89
10,8.428,PATRULHA,777.89
10,8.445,PATRULHA,778.86
10,8.462,PATRULHA,779.87
10,8.479,PATRULHA,780.86
10,8.495,PATRULHA,781.90
10,8.511,PATRULHA,784.05
10,8.529,PATRULHA,786.23
10,8.545,PATRULHA,788.58
10,8.561,PATRULHA,790.64
10,8.578,PATRULHA,792.88
10,8.594,PATRULHA,794.99
10,8.611,PATRULHA,795.34
10,8.628,PATRULHA,795.71
10,8.645,PATRULHA,796.06
10,8.661,PATRULHA,796.44
10,8.678,PATRULHA,796.78
10,8.695,PATRULHA,797.14
10,8.712,PATRULHA,797.50
10,8.728,PATRULHA,797.86
10,8.745,PATRULHA,798.22
10,8.761,PATRULHA,798.57
10,8.778,PATRULHA,799.27
10,8.796,PATRULHA,799.98
10,8.811,PATRULHA,800.64
10,8.828,PATRULHA,801.23
10,8.848,PATRULHA,801.87
10,8.864,PATRULHA,802.61
10,8.881,PATRULHA,803.24
10,8.898,PATRULHA,803.87
10,8.914,PATRULHA,804.51
10,8.934,PATRULHA,805.14
10,8.950,PATRULHA,805.88
10,8.964,PATRULHA,806.52
10,8.982,PATRULHA,807.02
10,8.997,PATRULHA,808.46
10,9.014,PATRULHA,810.73
10,9.031,PATRULHA,811.92
10,9.047,PATRULHA,814.33
10,9.066,PATRULHA,816.71
10,9.081,PATRULHA,819.40
10,9.097,PATRULHA,821.56
10,9.114,PATRULHA,824.00
10,9.131,PATRULHA,826.29
10,9.147,PATRULHA,828.47
10,9.164,PATRULHA,830.70
10,9.181,PATRULHA,832.91
10,9.200,PATRULHA,835.19
10,9.214,PATRULHA,837.78
10,9.231,PATRULHA,839.64
10,9.245,PATRULHA,841.89
10,9.262,PATRULHA,843.76
10,9.278,PATRULHA,846.01
10,9.295,PATRULHA,848.25
10,9.312,PATRULHA,850.50
10,9.328,PATRULHA,852.74
10,9.346,PATRULHA,854.96
10,9.361,PATRULHA,857.29
10,9.378,PATRULHA,859.38
10,9.395,PATRULHA,861.66
10,9.412,PATRULHA,863.91
10,9.428,PATRULHA,866.16
10,9.445,PATRULHA,868.37
10,9.461,PATRULHA,870.60
10,9.479,PATRULHA,872.85
10,9.495,PATRULHA,875.19
10,9.513,PATRULHA,876.21
10,9.528,PATRULHA,877.30
10,9.545,PATRULHA,878.25
10,9.561,PATRULHA,879.29
10,9.578,PATRULHA,880.34
10,9.595,PATRULHA,881.37
10,9.612,PATRULHA,880.89
10,9.628,PATRULHA,880.39
10,9.645,PATRULHA,879.95
10,9.661,PATRULHA,879.48
10,9.678,PATRULHA,879.01
10,9.695,PATRULHA,878.54
10,9.712,PATRULHA,878.08
10,9.728,PATRULHA,877.61
10,9.745,PATRULHA,877.14
10,9.762,PATRULHA,876.68
10,9.778,PATRULHA,876.20
10,9.795,PATRULHA,875.75
10,9.811,PATRULHA,875.31
10,9.828,PATRULHA,874.85
10,9.845,PATRULHA,874.32
10,9.861,PATRULHA,873.80
10,9.878,PATRULHA,873.27
10,9.896,PATRULHA,872.74
10,9.912,PATRULHA,872.18
10,9.928,PATRULHA,870.77
10,9.945,PATRULHA,869.27
10,9.962,PATRULHA,867.77
10,9.978,PATRULHA,866.24
10,9.995,PATRULHA,864.72
10,10.012,PATRULHA,864.20
10,10.028,PATRULHA,863.68
10,10.046,PATRULHA,863.17
10,10.062,PATRULHA,862.62
10,10.078,PATRULHA,862.13
10,10.095,PATRULHA,861.61
10,10.112,PATRULHA,861.10
10,10.128,PATRULHA,860.58
10,10.145,PATRULHA,860.08
10,10.161,PATRULHA,859.56
10,10.179,PATRULHA,859.06
10,10.195,PATRULHA,858.52
10,10.211,PATRULHA,858.04
10,10.228,PATRULHA,857.54
10,10.245,PATRULHA,857.02
10,10.262,PATRULHA,856.53
10,10.278,PATRULHA,856.02
10,10.295,PATRULHA,855.52
10,10.311,PATRULHA,855.02
10,10.329,PATRULHA,854.53
10,10.346,PATRULHA,854.00
10,10.361,PATRULHA,853.50
10,10.378,PATRULHA,853.04
10,10.395,PATRULHA,852.54
10,10.411,PATRULHA,852.06
10,10.428,PATRULHA,851.57
10,10.444,PATRULHA,851.09
10,10.462,PATRULHA,850.60
10,10.478,PATRULHA,850.07
10,10.495,PATRULHA,849.60
10,10.512,PATRULHA,849.10
10,10.528,PATRULHA,848.60
10,10.545,PATRULHA,848.11
10,10.561,PATRULHA,847.62
10,10.578,PATRULHA,847.13
10,10.596,PATRULHA,846.64
10,10.611,PATRULHA,846.12
10,10.628,PATRULHA,845.67
10,10.645,PATRULHA,845.18
10,10.661,PATRULHA,844.70
10,10.678,PATRULHA,844.22
10,10.695,PATRULHA,843.72
10,10.711,PATRULHA,843.25
10,10.728,PATRULHA,842.77
10,10.746,PATRULHA,842.29
10,10.763,PATRULHA,841.79
10,10.778,PATRULHA,841.32
10,10.795,PATRULHA,840.87
10,10.811,PATRULHA,840.40
10,10.828,PATRULHA,839.93
10,10.845,PATRULHA,839.46
10,10.861,PATRULHA,839.00
10,10.879,PATRULHA,838.53
10,10.895,PATRULHA,838.04
10,10.912,PATRULHA,837.60
10,10.928,PATRULHA,837.14
10,10.945,PATRULHA,836.67
10,10.961,PATRULHA,836.21
10,10.978,PATRULHA,835.76
10,10.994,PATRULHA,835.31
10,11.012,PATRULHA,834.86
10,11.028,PATRULHA,834.38
10,11.048,PATRULHA,833.94
10,11.064,PATRULHA,832.10
10,11.081,PATRULHA,830.63
10,11.097,PATRULHA,829.11
10,11.114,PATRULHA,827.60
10,11.131,PATRULHA,826.10
10,11.147,PATRULHA,824.54
10,11.167,PATRULHA,823.02
10,11.182,PATRULHA,821.20
10,11.198,PATRULHA,819.80
10,11.214,PATRULHA,818.38
10,11.231,PATRULHA,816.87
10,11.245,PATRULHA,815.36
10,11.261,PATRULHA,814.07
10,11.278,PATRULHA,812.55
10,11.296,PATRULHA,811.02
10,11.312,PATRULHA,809.40
10,11.328,PATRULHA,807.94
10,11.345,PATRULHA,806.45
10,11.361,PATRULHA,804.88
10,11.379,PATRULHA,803.39
10,11.396,PATRULHA,801.81
10,11.412,PATRULHA,800.24
10,11.428,PATRULHA,798.78
10,11.446,PATRULHA,797.27
10,11.462,PATRULHA,795.62
10,11.478,PATRULHA,794.21
10,11.495,PATRULHA,792.74
10,11.512,PATRULHA,791.22
10,11.529,PATRULHA,789.70
10,11.545,PATRULHA,788.16
10,11.562,PATRULHA,786.72
10,11.579,PATRULHA,785.22
10,11.594,PATRULHA,783.68
10,11.612,PATRULHA,782.28
10,11.628,PATRULHA,780.75
10,11.645,PATRULHA,779.27
10,11.661,PATRULHA,777.81
10,11.678,PATRULHA,776.34
10,11.695,PATRULHA,774.86
10,11.713,PATRULHA,773.40
10,11.728,PATRULHA,771.83
10,11.745,PATRULHA,770.44
10,11.762,PATRULHA,768.99
10,11.778,PATRULHA,767.55
10,11.795,PATRULHA,766.09
10,11.812,PATRULHA,764.63
10,11.828,PATRULHA,763.19
10,11.846,PATRULHA,761.77
10,11.863,PATRULHA,760.16
10,11.878,PATRULHA,758.61
10,11.895,PATRULHA,757.18
10,11.912,PATRULHA,755.66
10,11.929,PATRULHA,754.12
10,11.945,PATRULHA,752.56
10,11.962,PATRULHA,751.03
10,11.979,PATRULHA,749.54
10,11.995,PATRULHA,747.93
10,12.012,PATRULHA,746.50
10,12.028,PATRULHA,744.98
10,12.045,PATRULHA,743.43
10,12.062,PATRULHA,741.97
10,12.078,PATRULHA,740.57
10,12.095,PATRULHA,739.14
10,12.112,PATRULHA,737.71
10,12.129,PATRULHA,736.31
10,12.145,PATRULHA,734.81
10,12.161,PATRULHA,733.49
10,12.178,PATRULHA,732.09
10,12.195,PATRULHA,730.65
10,12.212,PATRULHA,729.24
10,12.229,PATRULHA,727.84
10,12.245,PATRULHA,726.43
10,12.263,PATRULHA,725.05
10,12.278,PATRULHA,723.59
10,12.295,PATRULHA,722.30
10,12.312,PATRULHA,720.92
10,12.329,PATRULHA,719.51
10,12.345,PATRULHA,718.12
10,12.362,PATRULHA,716.75
10,12.378,PATRULHA,715.43
10,12.396,PATRULHA,714.07
10,12.412,PATRULHA,712.63
10,12.428,PATRULHA,711.33
10,12.445,PATRULHA,710.00
10,12.462,PATRULHA,708.66
10,12.478,PATRULHA,707.33
10,12.495,PATRULHA,706.00
10,12.512,PATRULHA,704.66
10,12.530,PATRULHA,703.30
10,12.545,PATRULHA,701.91
10,12.562,PATRULHA,700.66
10,12.578,PATRULHA,699.37
10,12.595,PATRULHA,698.07
10,12.612,PATRULHA,696.71
10,12.629,PATRULHA,695.45
10,12.645,PATRULHA,694.13
10,12.662,PATRULHA,692.85
10,12.679,PATRULHA,691.56
10,12.697,PATRULHA,690.21
10,12.712,PATRULHA,688.84
10,12.728,PATRULHA,687.73
10,12.745,PATRULHA,686.46
10,12.762,PATRULHA,685.16
10,12.778,PATRULHA,683.92
10,12.795,PATRULHA,682.68
10,12.813,PATRULHA,681.44
10,12.828,PATRULHA,680.10
10,12.845,PATRULHA,678.91
10,12.862,PATRULHA,677.67
10,12.878,PATRULHA,676.42
10,12.895,PATRULHA,675.21
10,12.912,PATRULHA,673.99
10,12.929,PATRULHA,672.77
10,12.946,PATRULHA,671.52
10,12.962,PATRULHA,670.27
10,12.979,PATRULHA,669.12
10,12.995,PATRULHA,667.91
10,13.012,PATRULHA,666.72
10,13.029,PATRULHA,665.54
10,13.048,PATRULHA,664.33
10,13.067,PATRULHA,662.96
10,13.081,PATRULHA,661.65
10,13.101,PATRULHA,660.63
10,13.119,PATRULHA,659.24
10,13.134,PATRULHA,658.02
10,13.148,PATRULHA,656.97
10,13.166,PATRULHA,655.99
10,13.181,PATRULHA,654.71
10,13.200,PATRULHA,653.70
10,13.215,PATRULHA,652.40
10,13.236,PATRULHA,651.43
10,13.248,PATRULHA,650.01
10,13.267,PATRULHA,649.20
10,13.281,PATRULHA,647.94
10,13.300,PATRULHA,646.98
10,13.315,PATRULHA,645.72
10,13.333,PATRULHA,644.75
10,13.348,PATRULHA,643.55
10,13.368,PATRULHA,642.58
10,13.381,PATRULHA,641.28
10,13.401,PATRULHA,640.41
10,13.415,PATRULHA,639.18
10,13.433,PATRULHA,638.27
10,13.445,PATRULHA,637.11
10,13.463,PATRULHA,636.36
10,13.479,PATRULHA,636.67
10,13.496,PATRULHA,636.97
